user,content,translation,timestamp,country,sentiment,issue/problema,standpoint,arguments
@dan_doshal,"ואז דב ומואב עשו מחווה נהדרת לגשש בשירים ושערים.
""דובי, תשאל אותו בבקשה מה יעשה כשייכנסו הטנקים""
""זה בדיוק מה ששאלתי אותו מואב""","Then Dov and Moab made a great tribute to HaGashash [Alon: HaGashash is an old Israeli comedy group] in songs and gates [Alon: gates?]. ""Dovy, please ask him what he will do when the tanks come in"" ""That's exactly what I asked him Moab""","Feb 25, 2022 · 5:48 PM UTC",IL,,,,
@WinnieRottem,"אוקריינה תחילה?
אולי כדאי שהכתבים אצלכם יגרו כדורים לבעיות זיכרון.
פוטין החל בכיבוש לפני כמה שנים כאשר בקלות כבש את קרמייה",Ukraine started? Maybe you should have your reporters take pills for memory problems. Putin started the occupation a few years ago when he easily conquered Crimea,"Feb 24, 2022 · 7:44 PM UTC",IL,,,,
@Naftali81889848,"איך מלחמה במאה הנוכחית כל-כך מלאה בדיס אינפורמציה, פוטין כבר יכול להכתיר את עצמו למלך","How is war in this century so full of disinformation, Putin can already crown himself king","Feb 24, 2022 · 12:39 PM UTC",IL,,,,
@greenmarav,למה הם מבקרות בקייב למרות שכבר 3 שבועות מבקשים מאזרחים ישראלים לצאת מאוקרינה ומשרד החוץ מפרסם אזהרות מסע. עכשיו שיהיה לתיירות החכמות בהצלחה.,Why are they visiting Kiev even though Israeli citizens have been asked to leave Ukraine for 3 weeks and the Ministry of Foreign Affairs is issuing travel warnings. I wish good luck to these smart tourist [Alon: this sentence is sarcasti].,"Feb 24, 2022 · 8:43 AM UTC",IL,,,,
@bobsfog2021,"הכוחות בורחים מהצבא הרוסי.  עוד מעט יקימו את בריהמ מחדש. מולדובה הבאה בתור. אחרי זה ליטא,לטביה.. אחרי זה כל מיני -סטאנים למיניהם...אוזבקיסטאו,קירגיזסטאן וכו.","The troops are fleeing from the Russian army. Soon they will rebuild the USSR. Moldova is next. After that, Lithuania, Latvia.. After that, all kinds of Stans... Uzbekistan, Kyrgyzstan, etc.","Feb 24, 2022 · 9:36 AM UTC",IL,,,,
@EfesEfesSheva,פוטין יתקוף צבאית. יחטוף כלכלית. הוא ישלם מחיר מאוד כבד על הצעד הזה. אבל לעולם הוא יצטייר כמנצח אלים ובריון,Putin will attack militarily. will be hit financially. He will pay a very heavy price for this step. But he will always be portrayed as a violent victor and a bully,"Feb 24, 2022 · 10:59 AM UTC",IL,,,,
@mfitzor,"ולפיד צריך ללמוד לשתוק!
אמר שבא לעבוד, אז שיקח מטאטא וינקה את חדר המדרגות.
כל מילה מיותרת!","And Lapid [Alon: alternate prime minister at the time] needs to learn to shut up! He said he came to work, so he should take a broom and clean the stairs. No need for words!","Feb 24, 2022 · 7:22 AM UTC",IL,,,,
@BorisY28,או שהם יקיימו את אירועי הספורט שם רק תחת דגל אחר,Or they will hold the sports events there only under a different flag,"Feb 25, 2022 · 2:49 PM UTC",IL,,,,
@moshecohenz1,"מנליס, יא אפס מציע את ביבי המושחת למתווך!!! ביביסט דפוק!!! שקוף כמו שתן של חמור!!! ביבי כבר בפח האשפה של ההיסטוריה! גם אתה בקרוב אמן","Manelis you loser, offering the corrupt Bibi to the middleman!!! Fucked bibist!!! Transparent like a donkey's urine!!! Bibi is already in the dustbin of history! You too will be soon Amen","Feb 26, 2022 · 6:16 PM UTC",IL,,,,
@Yaakov82547150,"האיש הזה טיפש ומטופש מאפיין אומר הייתה הערכת מודיעין .
בכמה משפטים של אנשים חסרי  שכל וניסיון .
אומר שהם הסתמכו על האזרחים הישראלים שהיו באוקרינה.
הכשלון מהדהד !
חייבים להקים ועדת חקירה איך החלול והנוכל לא הצליחו להוציא את הישראלים מאוקריינה.
מנהיגים שנותנים למזל לנהל אותנו .","This man is stupid, says was an intelligence assessment. In a few sentences of brainless and inexperienced people. Says they relied on the Israeli citizens who were in Ukraine. The failure resonates! We must establish a commission of inquiry into how the hollow and the crook failed to get the Israelis out of Ukraine. Leaders who let luck manage us.","Feb 26, 2022 · 9:21 AM UTC",IL,,,,
@DrGA890,"למה האישה של שר המשפטים משדרת בערוץ ציבורי?
זה ניגוד עניינים חמור. סטייל צפון קוריאה. 
אתם בושה לדמוקרטיה.",Why is the wife of the Minister of Justice broadcasting on a public channel? This is a serious conflict of interest. North Korean style. You are a disgrace to democracy.,"Feb 25, 2022 · 8:15 PM UTC",IL,,,,
@udTiPlKqXhPNTBG,הלואי שהאוקראינים יגיסו את דב גיל הר לצבא שלהם ובבת אחת גל אנחנו נרוויח פחות שמאלי קיצוני בתשקורת האשכנזית,I wish the Ukrainians would recruit Dov Gil Har to their army and then at the same time we will gain one less extreme leftist in the Ashkenazi media,"Feb 25, 2022 · 10:21 AM UTC",IL,,,,
@ShemuelMeir,"הבעייה המדינית בפני ישראל רק תתחיל אחרי כשלון הצעת ההחלטה המערבית במועצת הבטחון והוטו הרוסי: הטקסט המוצע של ארה""ב, צרפת ובריטניה יהפוך לסטנדרט בזירה הבינלאומית וארה""ב תדרוש תמיכה בו מהשותפות ובעלות הברית שלה, בכלל זה ישראל, על מנת לבודד את פוטין, בנוסף להטלת הסנקציות הקשות.","The political problem before Israel will only begin after the failure of the Western resolution proposal in the Security Council and the Russian veto: the text proposed by the USA, France and Great Britain will become a standard in the international arena and the USA will demand support for it from its partners and allies, including Israel, in order to isolate Putin, In addition to imposing the severe sanctions.","Feb 25, 2022 · 6:26 AM UTC",IL,,,,
@suijQcjiaya4fZO,רק עם גינויים מנצחים. עולם הולך ונעלם עם חבורה של מנהיגים הזויים.,You win only with condemnations. The world is disappearing with a bunch of delusional leaders.,"Feb 25, 2022 · 6:30 AM UTC",IL,,,,
