LgUBHvSNT	Ukraine officially launches 30-day national state of emergency
LgVTiurAB	Putin decided to launch a special military operation in the Donbass
LgWa3datj	There were several explosions heard over the capital of Ukraine
LgWkrF3Sy	Ukraine announced the closure of the country's airspace
LgWpHllzj	The landing operation of Russian troops began in the Black Sea and the Sea of Azov
LgWrDA2ls	The Security Council urgently reviews the Ukrainian issue, and China once again expresses its position on the Ukrainian issue
LgWI8vhfS	Scene: Footage of the attack on Chuguyev Airport in Ukraine
LgWSJo2Ak	The Embassy in Ukraine asks Chinese citizens in Ukraine to pay high attention to safety
LgWYS22uB	The command of the National Guard of Ukraine was destroyed
LgX0s8cVi	diffusion! Emergency hotline for Chinese citizens in Ukraine
LgXekzh3F	A quick look at the timeline of the situation in Russia and Ukraine_1
LgXsv4fLN	Live hit! Real-time footage from Kyiv, Ukraine
LgXG5AqWj	Thick smoke rises from the area of Ukrainian military units
LgXX1nYK4	Foreign Ministry：The US is not in a position to tell China what to do on how to respect national sovereignty and territorial integrity
LgY2mmauv	The Ministry of Foreign Affairs responded to whether it would provide military equipment support to Russia
LgYdQcEKn	​​​​May the Chinese citizens in Ukraine be safe! The Ministry of Foreign Affairs stated that the embassy will fully assist Chinese citizens in Ukraine
LgYiGpKW4	Ministry of Foreign Affairs: In the past period, the United States has shipped more than 1,000 tons of weapons and ammunition to Ukraine
LgYlaFzqS	The President of Ukraine announced the severance of diplomatic relations with Russia
LgYm9BcIe	Russian troops have crossed the border into Udo Oblast
LgYF4nyAG	A quick look at the picture! The Ministry of Foreign Affairs responded to questions about the situation in Russia and Ukraine
LgZ2sADeB	Wang Yi had a telephone conversation with Russian Foreign Minister Sergei Lavrov
LgZ55vbBR	State Border Service of Ukraine: Russian troops are breaking through the Kyiv Oblast defenses
LgZv7tQ99	NATO says it has no plans to send troops to Ukraine
LgZNWzSXI	A quick look at the timeline of the situation in Russia and Ukraine_2
LgZTSh78p	The United States said it would not send troops to Ukraine
Lh0cyzzdZ	The Kyiv city administration issued an air raid alert informing everyone to immediately take refuge in civil defense shelters
Lh0gObAnU	The scene directly hit the situation between Russia and Ukraine
Lh0D18Y3B	Ukrainian President Volodymyr Zelensky：The Russian army is trying to seize control of the Chernobyl nuclear power plant
Lh0X9f7jX	A curfew is in place in the city of Kyiv, Ukraine
Lh1hJtUFm	Urgent notice! Chinese citizens who intend to evacuate from Ukraine are requested to register
Lh3wzb3ND	Ukrainian President Volodymyr Zelensky issued a national mobilization order
Lh3HImxzf	Ministry of Internal Affairs of Ukraine: The Ukrainian government distributed more than 10,000 automatic rifles to residents of Kyiv
Lh43A7VFM	U.S. President Joe Biden reiterated that the U.S. military will not be involved in the Russia-Ukraine conflict
Lh4c2xcG9	Live hit: Real-time footage of Kyiv, Ukraine
Lh4hE2fgC	The Ukrainian president said that the West has completely abandoned Ukraine
Lh4AYy4MX	Zelenskyy said that Ukraine is fighting alone
Lh5l4y15u	Video of Biden's speech：The U.S. military is not and will not be at war with Russia in Ukraine
Lh5o6fIUM	Two huge explosions thundered in Kyiv
Lh5D9DN7I	In Ukraine, the Chinese said that the Chinese flag was out of stock in Kyiv
Lh5LN4Pbv	Russian tanks have arrived around Kyiv, and fierce fighting is taking place between Russia and Ukraine
Lh60Q0hWo	State Border Service of Ukraine：Russian Armed Forces have landed in northern Ukraine
Lh6c9v3dR	A summary of the latest developments in the Russia-Ukraine situation
Lh6rMlNM1	Stay tuned! Directly hit the situation between Russia and Ukraine for 24 hours
Lh6xieUD7	Russian fighter group approached Kyiv, the capital of Ukraine, and the air defense alarm sounded again
Lh6B7f5GB	Zelenskyy said Ukraine had been isolated
Lh6Sm551S	The embassy reminded Chinese citizens in Ukraine not to wear camouflage uniforms to go out
Lh6ZIC2DI	The Ministry of Foreign Affairs responded to whether the Chinese side considers Russia to be aggressive
Lh774vqNj	The Ministry of Foreign Affairs responded to the Taiwan authorities' economic sanctions against Russia: Do not give up any opportunity to rub hot spots
Lh71i8ZYH	The Ministry of Foreign Affairs responded to whether there were any casualties among Chinese citizens in Ukraine
Lh7hf8Cnm	The Ukrainian side said that it is ready to open negotiations with the Russian side, but needs to receive security 
Lh7lYgfoM	Foreign Ministry responds to White House's request for China to choose sides: The Foreign Ministry said that China stands on the side of peace and justice
Lh85QnWP8	The Ukrainian Ministry of Defense said that the fighting in Kyiv would begin immediately
Lh8gk94R5	The Russian Foreign Minister said he was willing to negotiate with the Ukrainian side
Lh8HNEEgC	The entire territory of Ukraine has been plunged into war, and Zelensky invited Putin to negotiate
Lh91K2n95	Zelensky's latest speech
Lh96KieEL	Putin will send a delegation to negotiate with the Ukrainian side
Lh9mj31WO	The Russian side called on Ukraine to achieve two things：demilitarization and state neutrality
Lha4Vorxy	Hello, tomorrow
LhcUICU6x	Chinese Embassy in Ukraine: The evacuation plan for Chinese citizens in Ukraine has been launched
Lhd1FvV7L	The UN Security Council did not adopt a draft resolution on the situation in Ukraine
